key,value
Jan-14,60
,57
,71
,100
Feb-14,60
,61
,71
,73
Mar-14,67
,70
,62
,65
,67
Apr-14,67
,59
,60
,63
May-14,67
,57
,60
,53
Jun-14,57
,55
,55
,57
,55
Jul-14,56
,55
,53
,54
Aug-14,60
,53
,56
,53
,58
Sep-14,59
,69
,61
,64
Oct-14,65
,68
,63
,65
Nov-14,66
,56
,74
,57
,65
Dec-14,59
,60
,27
,35
Jan-15,69
,73
,80
,100
Feb-15,81
,82
,74
,80
Mar-15,80
,79
,77
,79
,67
Apr-15,76
,76
,70
,79
May-15,76
,65
,66
,67
,72
Jun-15,61
,64
,66
,63
Jul-15,57
,63
,62
,65
Aug-15,67
,60
,66
,63
,62
Sep-15,67
,68
,76
,70
Oct-15,85
,83
,75
,77
Nov-15,81
,66
,77
,64
,76
Dec-15,77
,65
,48
,39
Jan-16,58
,54
,65
,100
,71
Feb-16,65
,67
,72
,71
Mar-16,74
,64
,58
,61
Apr-16,72
,70
,72
,63
May-16,63
,65
,62
,58
,63
Jun-16,54
,58
,60
,57
Jul-16,52
,54
,56
,52
,55
Aug-16,53
,52
,56
,59
Sep-16,58
,60
,67
,65
Oct-16,62
,68
,67
,74
,75
Nov-16,71
,75
,64
,77
Dec-16,71
,66
,57
,39
Jan-17,56
,68
,72
,96
,80
Feb-17,69
,75
,72
,82
Mar-17,84
,78
,78
,100
Apr-17,85
,77
,79
,84
,80
May-17,75
,67
,59
,63
Jun-17,59
,64
,62
,72
Jul-17,63
,68
,66
,70
,72
Aug-17,72
,66
