key,value
Jan-2016,58
,54
,65
,100
,71
Feb-2016,65
,67
,72
,71
Mar-2016,74
,64
,58
,61
Apr-2016,72
,70
,72
,63
May-2016,63
,65
,62
,58
,63
Jun-2016,54
,58
,60
,57
Jul-2016,52
,54
,56
,52
,55
Aug-2016,53
,52
,56
,59
Sep-2016,58
,60
,67
,65
Oct-2016,62
,68
,67
,74
,75
Nov-2016,71
,75
,64
,77
Dec-2016,71
,66
,57
,39
Jan-2017,56
,68
,72
,96
,80
Feb-2017,69
,75
,72
,82
Mar-2017,84
,78
,78
,100
Apr-2017,85
,77
,79
,84
,80
May-2017,75
,67
,59
,63
Jun-2017,59
,64
,62
,72
Jul-2017,63
,68
,66
,70
,72
Aug-2017,72
,66
