key,value
1962,589
,561
,640
,656
,727
,697
,640
,599
,568
,577
,553
,582
1963,600
,566
,653
,673
,742
,716
,660
,617
,583
,587
,565
,598
1964,628
,618
,688
,705
,770
,736
,678
,639
,604
,611
,594
,634
1965,658
,622
,709
,722
,782
,756
,702
,653
,615
,621
,602
,635
1966,677
,635
,736
,755
,811
,798
,735
,697
,661
,667
,645
,688
1967,713
,667
,762
,784
,837
,817
,767
,722
,681
,687
,660
,698
1968,717
,696
,775
,796
,858
,826
,783
,740
,701
,706
,677
,711
1969,734
,690
,785
,805
,871
,845
,801
,764
,725
,723
,690
,734
1970,750
,707
,807
,824
,886
,859
,819
,783
,740
,747
,711
,751
1971,804
,756
,860
,878
,942
,913
,869
,834
,790
,800
,763
,800
1972,826
,799
,890
,900
,961
,935
,894
,855
,809
,810
,766
,805
1973,821
,773
,883
,898
,957
,924
,881
,837
,784
,791
,760
,802
1974,828
,778
,889
,902
,969
,947
,908
,867
,815
,812
,773
,813
1975,834
,782
,892
,903
,966
,937
,896
,858
,817
,827
,797
,843
